"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","736,345","750,358","771,170","728,589","-","-1.88%"
"Dec 30, 2021","750,480","740,879","764,030","733,736","-","1.47%"
"Dec 29, 2021","739,591","749,399","764,181","736,017","-","-1.23%"
"Dec 28, 2021","748,784","787,553","787,679","745,436","-","-4.95%"
"Dec 27, 2021","787,786","789,429","806,842","784,147","-","-0.24%"
"Dec 26, 2021","789,658","786,164","796,843","772,576","-","0.37%"
"Dec 25, 2021","786,778","792,013","797,707","783,235","-","-0.66%"
"Dec 24, 2021","792,024","796,003","807,265","783,147","-","-0.36%"
"Dec 23, 2021","794,885","763,618","801,924","755,759","-","4.05%"
"Dec 22, 2021","763,927","775,159","786,488","763,338","-","-1.47%"
"Dec 21, 2021","775,336","741,336","781,883","737,715","-","4.77%"
"Dec 20, 2021","740,065","743,435","751,119","718,323","-","-0.50%"
"Dec 19, 2021","743,751","745,900","768,353","739,163","-","-0.23%"
"Dec 18, 2021","745,448","735,068","753,196","724,463","-","1.42%"
"Dec 17, 2021","735,007","759,009","765,489","720,901","-","-3.16%"
"Dec 16, 2021","758,957","781,871","789,411","757,634","-","-2.91%"
"Dec 15, 2021","781,669","778,612","796,696","753,403","-","0.40%"
"Dec 14, 2021","778,539","748,088","782,120","742,064","-","4.09%"
"Dec 13, 2021","747,916","798,660","800,918","734,218","-","-6.38%"
"Dec 12, 2021","798,889","787,493","810,662","777,876","-","1.33%"
"Dec 11, 2021","788,427","752,687","790,052","747,989","-","4.72%"
"Dec 10, 2021","752,914","758,498","793,955","750,928","-","-0.94%"
"Dec 09, 2021","760,093","792,997","799,204","756,732","-","-4.13%"
"Dec 08, 2021","792,833","801,887","805,238","769,498","-","-1.14%"
"Dec 07, 2021","801,968","802,909","824,386","794,938","-","-0.27%"
"Dec 06, 2021","804,101","793,340","809,081","753,944","-","1.53%"
"Dec 05, 2021","791,989","790,660","798,418","768,193","-","0.11%"
"Dec 04, 2021","791,116","861,871","865,635","704,273","-","-8.09%"
"Dec 03, 2021","860,708","900,519","915,597","840,557","-","-4.37%"
"Dec 02, 2021","900,040","915,733","918,697","887,987","-","-1.80%"
"Dec 01, 2021","916,495","904,393","935,089","895,633","-","1.21%"
"Nov 30, 2021","905,561","932,110","940,634","903,336","-","-2.82%"
"Nov 29, 2021","931,884","924,267","950,840","914,699","-","0.94%"
"Nov 28, 2021","923,199","893,586","929,617","872,181","-","3.24%"
"Nov 27, 2021","894,218","876,881","901,904","875,440","-","2.32%"
"Nov 26, 2021","873,916","951,550","955,727","866,352","-","-8.01%"
"Nov 25, 2021","950,058","908,130","951,286","905,578","-","4.67%"
"Nov 24, 2021","907,710","912,690","915,115","890,456","-","-0.46%"
"Nov 23, 2021","911,883","891,729","916,297","879,330","-","2.19%"
"Nov 22, 2021","892,347","923,096","934,270","882,564","-","-3.35%"
"Nov 21, 2021","923,286","939,751","944,279","921,242","-","-1.76%"
"Nov 20, 2021","939,866","913,947","941,630","904,561","-","2.86%"
"Nov 19, 2021","913,723","890,285","917,350","870,023","-","2.58%"
"Nov 18, 2021","890,737","934,639","943,204","884,467","-","-4.70%"
"Nov 17, 2021","934,627","932,590","943,548","909,272","-","0.17%"
"Nov 16, 2021","933,052","968,470","968,470","895,188","-","-3.49%"
"Nov 15, 2021","966,749","1,005,539","1,014,832","966,707","-","-3.74%"
"Nov 14, 2021","1,004,318","989,113","1,005,442","977,097","-","1.52%"
"Nov 13, 2021","989,243","985,008","997,086","973,411","-","0.32%"
"Nov 12, 2021","986,088","991,638","1,001,529","952,918","-","-0.63%"
"Nov 11, 2021","992,377","1,001,959","1,008,381","983,632","-","-1.14%"
"Nov 10, 2021","1,003,800","1,008,188","1,057,201","972,839","-","-0.46%"
"Nov 09, 2021","1,008,485","1,007,664","1,022,883","998,144","-","0.06%"
"Nov 08, 2021","1,007,893","953,491","1,011,000","951,971","-","5.74%"
"Nov 07, 2021","953,158","924,833","953,311","922,716","-","3.10%"
"Nov 06, 2021","924,518","917,143","925,658","903,931","-","0.72%"
"Nov 05, 2021","917,944","934,025","954,786","912,669","-","-1.71%"
"Nov 04, 2021","933,915","958,957","961,383","924,164","-","-2.66%"
"Nov 03, 2021","959,448","975,765","979,072","939,462","-","-1.60%"
"Nov 02, 2021","975,044","939,957","990,201","935,493","-","3.70%"
"Nov 01, 2021","940,253","933,347","957,012","909,193","-","0.75%"
"Oct 31, 2021","933,263","941,215","949,606","913,356","-","-0.90%"
"Oct 30, 2021","941,709","947,380","948,354","926,422","-","-0.61%"
"Oct 29, 2021","947,473","917,471","961,262","913,541","-","3.28%"
"Oct 28, 2021","917,398","880,366","939,741","876,295","-","4.20%"
"Oct 27, 2021","880,389","895,252","912,082","869,050","-","-1.62%"
"Oct 26, 2021","894,925","928,004","931,427","889,285","-","-3.55%"
"Oct 25, 2021","927,885","902,311","935,955","899,212","-","2.78%"
"Oct 24, 2021","902,772","908,874","910,934","882,370","-","-0.69%"
"Oct 23, 2021","909,079","899,676","914,997","885,491","-","1.05%"
"Oct 22, 2021","899,598","913,157","935,218","891,211","-","-1.45%"
"Oct 21, 2021","912,796","951,063","967,035","910,594","-","-4.01%"
"Oct 20, 2021","950,928","932,936","967,296","923,181","-","1.93%"
"Oct 19, 2021","932,920","910,593","935,824","894,014","-","2.39%"
"Oct 18, 2021","911,116","899,039","919,092","886,697","-","1.31%"
"Oct 17, 2021","899,330","888,894","900,624","864,255","-","1.13%"
"Oct 16, 2021","889,252","900,562","910,167","879,271","-","-1.22%"
"Oct 15, 2021","900,213","847,591","918,977","841,186","-","6.27%"
"Oct 14, 2021","847,070","848,532","866,163","841,721","-","-0.20%"
"Oct 13, 2021","848,766","838,740","853,171","807,616","-","1.18%"
"Oct 12, 2021","838,859","866,124","868,095","813,927","-","-3.12%"
"Oct 11, 2021","865,831","816,443","869,521","814,155","-","5.90%"
"Oct 10, 2021","817,565","820,295","842,631","807,633","-","-0.36%"
"Oct 09, 2021","820,540","804,948","827,141","801,978","-","1.87%"
"Oct 08, 2021","805,477","804,172","835,692","803,080","-","0.16%"
"Oct 07, 2021","804,167","828,499","828,499","796,051","-","-2.96%"
"Oct 06, 2021","828,685","773,039","832,527","764,652","-","7.12%"
"Oct 05, 2021","773,604","740,276","778,601","738,086","-","4.47%"
"Oct 04, 2021","740,481","716,065","744,260","705,579","-","3.43%"
"Oct 03, 2021","715,945","709,348","731,243","701,933","-","0.90%"
"Oct 02, 2021","709,571","716,426","718,292","706,048","-","-0.95%"
"Oct 01, 2021","716,367","660,950","720,455","653,765","-","8.46%"
"Sep 30, 2021","660,511","631,067","664,488","628,998","-","4.63%"
"Sep 29, 2021","631,265","619,439","641,328","616,744","-","1.98%"
"Sep 28, 2021","619,006","630,372","641,636","617,988","-","-1.98%"
"Sep 27, 2021","631,480","644,980","662,054","630,449","-","-2.15%"
"Sep 26, 2021","645,374","638,155","656,295","609,635","-","1.16%"
"Sep 25, 2021","637,946","640,020","642,092","623,534","-","-0.32%"
"Sep 24, 2021","639,965","662,349","671,993","612,603","-","-3.38%"
"Sep 23, 2021","662,354","644,482","662,506","634,782","-","2.73%"
"Sep 22, 2021","644,764","605,987","646,870","603,147","-","6.66%"
"Sep 21, 2021","604,523","635,484","646,150","588,876","-","-4.56%"
"Sep 20, 2021","633,392","698,604","699,264","629,276","-","-9.25%"
"Sep 19, 2021","697,957","713,653","714,179","691,852","-","-2.20%"
