Date,Price,Open,High,Low,Volume,Chg%
"Dec 31, 2021","67,052.40","67,129.53","67,263.14","66,758.87",22.27M,-0.11%
"Dec 30, 2021","67,129.53","66,613.94","67,187.51","66,598.12",49.98M,0.77%
"Dec 29, 2021","66,613.94","65,864.13","66,667.00","65,657.72",41.25M,1.14%
"Dec 28, 2021","65,864.13","65,023.34","66,012.40","65,003.56",46.44M,1.29%
"Dec 24, 2021","65,023.34","65,125.68","65,362.86","65,023.34",9.03M,-0.16%
"Dec 23, 2021","65,125.68","64,803.84","65,513.57","64,803.84",48.77M,0.50%
"Dec 22, 2021","64,803.84","64,611.70","65,123.15","64,549.25",44.06M,0.30%
"Dec 21, 2021","64,611.70","63,652.47","64,834.97","63,652.47",62.36M,1.51%
"Dec 20, 2021","63,652.47","64,680.34","64,680.34","63,030.90",78.19M,-1.59%
"Dec 17, 2021","64,680.34","65,102.29","65,900.44","64,680.34",294.06M,-0.65%
"Dec 15, 2021","65,102.29","65,212.46","65,695.75","64,939.87",343.08M,-0.17%
"Dec 14, 2021","65,212.46","65,177.02","65,447.33","64,836.01",159.64M,0.05%
"Dec 13, 2021","65,177.02","65,390.32","66,125.42","65,087.56",133.76M,-0.33%
"Dec 10, 2021","65,390.32","65,779.50","65,957.29","65,318.86",123.82M,-0.59%
"Dec 09, 2021","65,779.50","65,992.71","66,187.56","65,485.58",114.75M,-0.32%
"Dec 08, 2021","65,992.71","66,513.46","66,692.71","65,798.05",130.03M,-0.78%
"Dec 07, 2021","66,513.46","64,598.46","66,537.07","64,598.46",123.34M,2.96%
"Dec 06, 2021","64,598.46","64,306.68","64,841.15","64,183.82",112.17M,0.45%
"Dec 03, 2021","64,306.68","64,555.25","65,111.64","64,306.68",113.99M,-0.39%
"Dec 02, 2021","64,555.25","64,785.66","65,098.33","64,195.91",152.58M,-0.36%
"Dec 01, 2021","64,785.66","64,063.82","64,836.58","64,057.16",143.23M,1.13%
